; Austria; Belgium; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia & Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland & Liechtenstein; Turkey; Ukraine; United Kingdom
One-way street; ; ; ; ; ; NOT USED; ; [ note 1]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
One-way street; ; NOT USED; ; ; ; ; NOT USED; ; ; ; ; NOT USED; ; ; ; ; NOT USED; ; ; ; ; ; ; ; NOT USED; ; ; 
Pedestrian crossing; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; or; [ note 14]; ; ; NOT USED
Advisory speed limit; NOT USED; NOT USED; ; ; ; ; ; [ note 1]; ; ; NOT USED; NOT USED; ; ; ; ; NOT USED; ; ; ; ; ; ; ; NOT USED; ; ; or (temporary)
Lane ends; ; ; ; ; or [ note 15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Road bump; ; ; ; ; ; ; ; NOT USED; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; 
Residential area/Living street; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; or; ; ; 
Pedestrian zone; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED; ; (Russia) (Belarus); or; ; ; ; or; ; ; 
Bus lane; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Limited-access road; ; ; ; ; NOT USED; ; ; ; ; ; NOT USED; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED
End of limited-access road; ; ; ; ; NOT USED; ; ; ; ; ; NOT USED; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED
Motorway; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
End of motorway; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
; Austria; Belgium; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia & Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland & Liechtenstein; Turkey; Ukraine; United Kingdom
