Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory
Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit)
Radeon X700 SE; Apr. 1, 2005; RV410 (alto); 110; 400; 200 250; 4:6:4:8; 1600; 3200; 1600; 600; 128; 3.2; DDR; 64
Radeon X700 LE; Dec. 21, 2004; RV410 (alto); 110; 400; 250; 3200; 128; 3200; 4; 600; DDR; 64
Radeon X700; Sept. 2005; RV410 (alto); 110; 400; 3200; 3200; 250 350; 3200; 128, 256; 600; 8 11.2; DDR; 
Radeon X700 Pro; Dec. 21, 2004; RV410 (alto); 110; 8:6:8:8; 425; 128; 432; 3400; 3400; 3400; 637.5; 128, 256; 13.824; 
Radeon X700 XT; Never Released; RV410 (alto); 110; 8:6:8:8; 525; 128; 3800; 3800; 712.5; GDDR3; 128, 256; 16.8; 
Radeon X800 GT 128MB; Aug. 1, 2005; 475; 130; 175; 3800; 7600; 3800; 712.5; 128; 22.4; DDR; 
Radeon X800 GT 256MB; Aug. 1, 2005; 490; 475; 130; 256; 3800; 7600; 3800; 712.5; 31.36; 256; 
Radeon X800; Dec. 1, 2004; R430 (thor); 110; 392; GDDR3; 12:6:12:16; 4704; 6272; 4704; 588; 256; 128, 256; 22.4; 
Radeon X800 GTO 128MB; Sept. 15, 2005; R423 R480 R430 (thor); 130 110; GDDR3; 12:6:12:16; 4800; 6400; 4800; 600; 256; 128; 22.4; 
Radeon X800 GTO 256MB; Sept. 15, 2005; R423 R480 R430 (thor); 130 110; 490; GDDR3; 12:6:12:16; 4800; 6400; 4800; 600; 256; 31.36; 
Radeon X800 Pro; May 5, 2004; R423 (thor); 256; 130; GDDR3; 12:6:12:16; 475; 450; 5700; 7600; 256; 5700; 712.5; 28.8
Radeon X800 XL; Dec. 1, 2004 (256  MB) May 4, 2005 (512  MB); R430 (thor); 110; 400; GDDR3; 490; 6400; 6400; 6400; 600; 256; 256, 512; 31.36; 
Radeon X800 XT; Dec. 1, 2004; R423 (thor); 130; 500; GDDR3; 16:6:16:16; 500; 8000; 8000; 8000; 256; 750; 32; 
Radeon X800 XT Platinum Edition; May 5, 2004; R423 (thor); 130; 520; GDDR3; 16:6:16:16; 560; 8320; 8320; 256; 256; 8320; 780; 35.84
Radeon X850 Pro; Dec. 1, 2004; R480 (thor); 130; 507; GDDR3; 520; 12:6:12:16; 6084; 8112; 256; 256; 6084; 760.5; 33.28
Radeon X850 XT; Dec. 1, 2004; R480 (thor); 130; 520; GDDR3; 8320; 8320; 8320; 780; 256; 256; 34.56; 
Radeon X850 XT CrossFire Master; Sept. 29, 2004; R480 (thor); 130; 520; GDDR3; 8320; 8320; 8320; 780; 256; 256; 34.56; 
Radeon X850 XT Platinum Edition; Dec. 21, 2004; R480 (thor); 130; 540; GDDR3; 590; 8640; 8640; 8640; 256; 256; 810; 37.76; 
Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit)
Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; Memory; 
