Model; Code name[ 175]; Fab (nm); Bus interface; Core clock (MHz); Boost clock (MHz); Memory clock (MHz); Core config1; Fillrate[ 211]; Fillrate[ 211]; Memory; Memory; Memory; Memory; Processing power (GFLOPS)[ 199] [ 200]; Processing power (GFLOPS)[ 199] [ 200]; Supported API version; Supported API version; Supported API version; Supported API version; Supported API version; TBP (Watts); Notes
Model; Code name[ 175]; Fab (nm); Bus interface; Core clock (MHz); Boost clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (GB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Direct3D; OpenGL; Vulkan; OpenCL; CUDA; TBP (Watts); Notes
Quadro P400; GP107-825; 14; PCIe 3.0 ×16; 1228; 1252; 1752 (7008); 256:16:16:2; 17.1; 17.1; 2; 32; GDDR5; 64; 641; 20.0; 12.1; 4.6; 1.1; 1.2; 6.1; 30; Three Mini-DisplayPort 1.4
Quadro P600; GP107-850; 14; PCIe 3.0 ×16; 1329; 1557; 1003 (4012); 384:24:16:3; 21.7; 32.5; 2; 1195; GDDR5; 37.3; Four Mini-DisplayPort 1.4; 12.1; 4.6; 1.1; 1.2; 6.1; 
Quadro P620; GP107-855; 14; PCIe 3.0 ×16; 1354; 1003 (4012); 512:32:16:4; 23.3; 64; 128; 2; 46.6; GDDR5; 40; Four Mini-DisplayPort 1.4; 1490; 12.1; 4.6; 1.1; 1.2; 6.1; 46.6; 
Quadro P1000; GP107-860; 14; PCIe 3.0 ×16; 1481; 1752 (7008); 640:40:32:5; 43.3; 54.2; 128; 4; 82; GDDR5; 1894; Four Mini-DisplayPort 1.4; 59.2; 12.1; 4.6; 1.1; 1.2; 6.1; 47; 
Quadro P2000; GP106-875; 16; PCIe 3.0 ×16; 1076; 1480; 2002 (8008); 1024:64:40:8; 54.8; 87.7; 5; 140; GDDR5; 3010; 93.8; Four DisplayPort 1.4; 12.1; 4.6; 1.1; 1.2; 6.1; 
Quadro P2200; GP106-880-K1-A1[ 212]; 16; PCIe 3.0 ×16; 1000; 1493; 1251 (1008); 1280:80:40:9; 59.7; 119.4; 5; 160; 200; GDDR5X; 75; Four DisplayPort 1.4; 12.1; 4.6; 1.1; 1.2; 6.1; 3822; 121.3
Quadro P4000; GP104-850-A1; 16; PCIe 3.0 ×16; 1202; 1480; 1502 (6008); 1792:112:64:14; 78.5; 137.4; 8; 243; GDDR5; 5300; 165.6; Four DisplayPort 1.4; 12.1; 4.6; 1.1; 1.2; 6.1; 105; 
Quadro P5000; GP104-875-A1; 16; PCIe 3.0 ×16; 1607; 1733; 1126 (9008); 2560:160:64:20; 102.8; 257.1; 16; 256; 288; 8873; 277.3; 180; 12.1; 4.6; 1.1; 1.2; 6.1; 
Quadro P6000; GP102-875-A1; 16; PCIe 3.0 ×16; 1506; 1645; 1126 (9008); 3840:240:96:30; 136.0; 340.0; GDDR5X; 24; 432; 384; Four DisplayPort 1.4, One DVI-D; 10882 (11758); 12.1; 4.6; 1.1; 1.2; 6.1; ~340; 250
Quadro GP100; GP100; 16; PCIe 3.0 ×16; 1304; 1442; 703 (1406); 3584:224:96:28; 138.4; 323; 16; 720; HBM2; 4096; 10336; 5168; 12.1; 4.6; 1.1; 1.2; 6; 235; NVLINK support
